product_cat_id,product_cat_name,product_cat_keywords,product_cat_brands
13,Games,"['Free', 'Exclusive', 'Unlimited', 'Anywhere', 'Seamless', 'Fun', 'Exciting', 'Engaging', 'Action', 'Realistic', 'Entertaining', 'Entertainment', 'Strategic', 'Epic', 'Endless', 'Accessible', 'Instant', 'High-quality', 'Optimized',  'Interactive', 'Innovative', 'Immersive', 'Customizable',  'Fast', 'Smooth', 'Flexible', 'Global', 'Connected', 'Graphics', 'High-definition', 'HD', 'Ultra', 'Competition', 'Characters', 'World', 'Explore', 'Achive', 'Prgogress', 'Rewards', 'Multiplayer', 'Features', 'Social', 'Competitive', 'Rewarding', 'Level', 'Points', 'Score', 'Team', 'Mode', 'Challenge', 'Win', 'Mission', 'Goal', 'Arena', 'Battle', 'Adventure', 'Quest', 'Strategy', 'Skill']","['MachineZone', 'MobileStrike', 'Pokemon', 'Supercell', 'TopGamesUS', 'uCool', 'Wargaming']"
15,General Retailers,"['VIP', 'scan', 'go', 'breathe', 'line', 'stunt', 'double', 'made', 'back', 'quickly', 'big', 'blue', 'bag', 'future', 'coffee', 'get']","['SamsClub', 'Walmart', '84Lumber']"
17,Healthcare and Medical Products,"['reliable', 'effective', 'innovative', 'advanced', 'safe', 'trusted', 'gentle', 'proven', 'fast-acting', 'powerful', 'affordable', 'precise', 'efficient', 'cutting-edge', 'natural', 'comprehensive', 'soothing', 'preventive', 'accessible', 'restorative', 'supportive', 'comfortable', 'long-lasting', 'clean', 'adaptive', 'responsive', 'professional', 'hygienic', 'durable', 'accurate', 'sterile', 'eco-friendly', 'sustainable', 'personalized', 'holistic', 'modern', 'compact', 'user-friendly', 'revolutionary', 'therapeutic' 'care', 'precision', 'safety', 'reliability', 'innovation', 'protection', 'comfort', 'health', 'hygiene', 'efficiency', 'treatment', 'prevention', 'recovery', 'support', 'accuracy', 'performance', 'diagnostics', 'technology', 'therapy', 'results', 'wellness', 'affordability', 'accessibility', 'solutions', 'confidence', 'durability', 'effectiveness', 'reassurance', 'advancement', 'flexibility', 'responsiveness', 'relief', 'sustainability', 'adaptability', 'functionality']","['CueHealth', 'Dexcom', 'Hologic', 'Advil', 'AstraZeneca', 'Valeant']"
19,Household and lawn and garden supplies,"['powerful', 'effective', 'reliable', 'fast-acting', 'efficient', 'eco-friendly', 'natural', 'safe', 'gentle', 'strong', 'tough', 'streak-free', 'odor-free', 'biodegradable', 'non-toxic', 'multi-purpose', 'convenient', 'refreshing', 'long-lasting', 'antibacterial', 'hygienic', 'residue-free', 'lightweight', 'versatile', 'innovative', 'durable', 'concentrated', 'clean', 'sparkling', 'absorbent', 'affordable', 'sustainable', 'easy-to-use', 'flexible', 'compact', 'modern', 'energy-saving', 'weatherproof', 'adaptable', 'seamless', 'precise', 'resilient', 'polished', 'vibrant', 'adjustable', 'ergonomic', 'practical', 'cleanliness', 'power', 'efficiency', 'quality', 'freshness', 'hygiene', 'protection', 'shine', 'performance', 'safety', 'streak-free finish', 'versatility', 'odor control', 'innovation', 'simplicity', 'biodegradability', 'multi-purpose use', 'concentration', 'gentleness', 'eco-friendliness', 'residue', 'effectiveness', 'absorption', 'durability', 'antibacterial action', 'convenience', 'sparkle', 'stain removal', 'solutions', 'foam', 'lather', 'disinfection', 'smell', 'reliability', 'flexibility', 'sustainability', 'strength', 'precision', 'affordability', 'adaptability', 'functionality', 'resilience', 'toughness', 'design', 'aesthetics', 'weather-resistance', 'energy savings', 'usability', 'practicality', 'comfort', 'maintenance', 'tools', 'support', 'stain', 'cleaning power']","['Febreze', 'Loctite', 'MrClean', 'PersilProClean', 'ProcterANDGamble', 'ScottsMiracleGro', 'SpeedStick', 'Tide']"
20,Insurance,"['reliable', 'affordable', 'comprehensive', 'secure', 'flexible', 'trusted', 'accessible', 'dependable', 'innovative', 'personalized', 'tailored', 'simple', 'efficient', 'inclusive', 'responsive', 'transparent', 'strong', 'robust', 'stable', 'convenient', 'empowering', 'seamless', 'professional', 'supportive', 'protective', 'adaptable', 'easy-to-use', 'customer-focused', 'risk-free', 'valuable', 'proactive', 'fast', 'dynamic', 'effective', 'sustainable', 'trustworthy', 'empowering', 'essential', 'cost-effective', 'protection', 'security', 'coverage', 'trust', 'reliability', 'affordability', 'flexibility', 'stability', 'accessibility', 'efficiency', 'confidence', 'safety', 'support', 'value', 'care', 'assistance', 'solutions', 'innovation', 'customer service', 'risk management', 'financial stability', 'transparency', 'customization', 'policies', 'options', 'dependability', 'claims', 'adaptability', 'peace', 'assurance', 'comfort', 'recovery', 'strength', 'planning', 'reliability', 'care', 'control', 'responsiveness', 'commitment', 'opportunitiy', 'opportunities', 'expert']","['AmericanFamilyInsurance', 'Esurance', 'Geico', 'NationwideInsurance', 'NewYorkLife', 'StateFarm']"
21,Web Services and Digital Solutions,"['innovative', 'reliable', 'secure', 'intuitive', 'scalable', 'user-friendly', 'customizable', 'efficient', 'powerful', 'seamless', 'flexible', 'responsive', 'affordable', 'fast', 'dynamic', 'accessible', 'comprehensive', 'versatile', 'robust', 'cutting-edge', 'modern', 'advanced', 'adaptive', 'dependable', 'trustworthy', 'streamlined', 'integrated', 'interactive', 'creative', 'effective', 'professional', 'tailored', 'effortless', 'collaborative', 'empowering', 'engaging',  'strategic', 'innovation', 'reliability', 'security', 'scalability', 'customization', 'efficiency', 'power', 'performance', 'speed', 'accessibility', 'integration', 'solutions', 'tools', 'platform', 'automation', 'connectivity', 'control', 'flexibility', 'usability', 'functionality', 'support', 'strategy', 'features', 'optimization', 'analytics', 'growth', 'marketing', 'hosting', 'domains', 'design', 'experience', 'collaboration', 'engagement', 'outreach', 'traffic', 'content', 'results', 'management', 'visibility', 'creativity', 'interoperability']","['GoDaddy', 'Google', 'Salesforce', 'Squarespace', 'Wixcom']"
22,Advocacy and Political Campaigns,"['dedicated', 'compassionate', 'impactful', 'meaningful', 'inclusive', 'caring', 'trustworthy', 'innovative', 'reliable', 'empathetic', 'sustainable', 'transparent', 'effective', 'focused', 'visionary', 'ethical', 'passionate', 'supportive', 'committed', 'collaborative', 'resilient', 'accessible', 'purpose-driven', 'dynamic', 'inspiring', 'generous', 'resourceful', 'transformative', 'global', 'community-centered', 'empowering', 'responsive', 'adaptive', 'humanitarian', 'compelling', 'groundbreaking', 'motivational', 'enduring', 'ambitious', 'hopeful', 'helping', 'active', 'help', 'impact', 'compassion', 'transparency', 'support', 'collaboration', 'trust', 'community', 'empowerment', 'inclusivity', 'ethics', 'mission', 'vision', 'purpose', 'hope', 'partnership', 'resources', 'change', 'dedication', 'sustainability', 'leadership', 'outreach', 'progress', 'relief', 'assistance', 'inspiration', 'funding', 'advocacy', 'volunteers', 'solidarity', 'equity', 'charity', 'innovation', 'solutions', 'humanity', 'service', 'generosity', 'care', 'opportunity', 'education', 'food']","['AmericanPetroleumInstitute', 'DonaldTrumpCampaign', 'DraftKings', 'MichaelBloombergCampaign', 'NoMore']"
23,Quick Service Restaurants & Food Chains,"['fresh', 'enjoy', 'organic', 'natural', 'delicious', 'quick', 'tasty', 'crispy', 'cheesy', 'juicy', 'hot', 'flavorful', 'spicy', 'tender', 'crunchy', 'smoky', 'rich', 'satisfying', 'affordable', 'fast', 'convenient', 'classic', 'loaded', 'grilled', 'indulgent', 'filling', 'tempting', 'iconic', 'specials', 'flavor', 'taste', 'freshness', 'crunch', 'aroma', 'variety', 'deal', 'toppings', 'spices', 'menu', 'satisfaction', 'indulgence', 'quality']","['BurgerKing', 'Chipotle', 'HardRock', 'JimmyJohns', 'KFC', 'LittleCaesars', 'McDonalds', 'Subway', 'TacoBell', 'Wendys']"
24,Smart Home Devices,"['Safe', 'Trusted', 'Reliable', 'Efficient', 'Professional', 'Seamless', 'Affordable', 'Advanced', 'Innovative', 'Powerful',  'Instant', 'Comprehensive', 'Customizable', 'Convenient', 'Accessible', 'Exclusive', 'Enhanced', 'Easy', 'intelligent', 'connected', 'responsive', 'efficient', 'secure', 'intuitive', 'smart', 'versatile', 'user-friendly', 'sleek', 'modern', 'compact', 'adaptive', 'energy-efficient', 'automated', 'dynamic', 'interactive', 'eco-friendly', 'integrated', 'cutting-edge', 'stylish', 'dependable', 'personalized', 'functional', 'flexible', 'scalable', 'streamlined', 'practical', 'time-saving', 'futuristic',  'connectivity', 'control', 'automation', 'security', 'efficiency', 'technology', 'intelligence', 'integration', 'performance', 'customization', 'comfort', 'reliability', 'features', 'smartness', 'accessibility', 'versatility', 'convenience', 'monitoring', 'energy savings', 'design', 'compatibility', 'solutions', 'interaction', 'alerts', 'notifications', 'insights', 'analytics', 'flexibility', 'functionality', 'management', 'interface', 'innovation', 'support', 'sensors', 'network', 'system', 'optimization', 'adaptability', 'settings']","['ADT', 'Amazon', 'AmazonAlexa', 'AmazonEcho', 'Google', 'SimpliSafe', 'Sonos']"
25,Snacks,"['artificial', 'zero', 'refreshing', 'organic', 'crispy', 'crunchy', 'delicious', 'tasty', 'satisfying', 'flavorful', 'fresh', 'spicy', 'hot', 'light', 'creamy', 'natural', 'handcrafted', 'baked', 'roasted', 'smoky', 'glazed', 'irresistible', 'convenient', 'healthy', 'nutritious', 'wholesome', 'new','calories', 'carbs', 'fat', 'flavor', 'sugar', 'quality', 'protein', 'taste', 'ingredients', 'nutrients', 'energy', 'texture', 'crunch', 'aroma', 'variety', 'balance', 'recipe', 'fiber', 'vitamins', 'minerals', 'packaging', 'satisfaction', 'indulgence', 'convenience', 'seasoning', 'coating', 'filling', 'topping', 'ranch', '3D']","['Butterfinger', 'Cheerios', 'Cheetos', 'Chobani', 'Dannon', 'DEVOUR', 'Doritos', 'Heinz', 'HellmannsMayonnaise', 'KingsHawaiian', 'Kraft', 'Lays', 'MANDMs', 'Nestle', 'Oreo', 'Planters', 'Poptarts', 'Pringles', 'Reeses', 'SabraHummus', 'Skittles', 'Snickers', 'WonderfulPistachios']"
26,Social Media,"['first', 'move', 'power', 'stand out', 'rock', 'star', 'start', 'life', 'work', 'love', 'nothing', 'lose', 'make', 'wait', 'never', 'want', 'world', 'invited']","['BLACTURE', 'Bumble', 'Facebook']"
27,Softdrinks,"['refreshing', 'organic', 'fizzy', 'sparkling', 'light', 'invigorating', 'bubbly', 'natural', 'fruity', 'energizing', 'satisfying', 'tropical', 'fresh', 'delicious', 'revitalizing', 'exotic', 'pure', 'tasty', 'healthy', 'nutritious', 'wholesome', 'flavor', 'taste', 'calories', 'sugar', 'vitamins', 'energy', 'ingredients', 'refreshment', 'aroma', 'sweeteners', 'electrolytes', 'quality']","['Bai', 'BUBLY', 'CocaCola', 'DietCoke', 'MiO', 'MountainDew', 'Pepsi', 'Sprite']"
28,"Non-Softdrinks (Water, Milk, Milk Substitutes)","['pure', 'refreshing', 'natural', 'nature', 'spring', 'quality', 'organic', 'fresh']","['Fiji', 'LifeWTR', 'Oatly', 'GotMilk']"
29,Streaming Service ,"['innovative', 'seamless', 'immersive', 'exclusive', 'unlimited', 'reliable', 'flexible', 'intuitive', 'accessible', 'customizable', 'personalized', 'dynamic', 'on-demand', 'fast', 'high-quality', 'affordable', 'interactive', 'versatile', 'entertaining', 'user-friendly', 'engaging', 'responsive', 'modern', 'secure', 'inclusive', 'global', 'premium', 'effortless', 'adaptive', 'diverse', 'compact', 'efficient', 'streamlined', 'flexible', 'engrossing', 'vivid', 'captivating', 'favorite', 'convenient','streaming', 'entertainment', 'content', 'quality', 'selection', 'library', 'experience', 'access', 'versatility', 'subscriptions', 'originals', 'variety', 'features', 'playback', 'binge-watching', 'exclusivity', 'freedom', 'availability', 'platform', 'choices', 'genres', 'recommendations', 'episodes', 'shows', 'movies', 'streamline', 'series', 'innovations', 'audiences', 'subscriptions', 'convenience', 'technology', 'resolution', 'curation', 'analytics', 'playlists', 'viewing', 'downloads', 'ease']","['AmazonPrimeVideo', 'DisneyPlus', 'Hulu', 'Paramount Plus', 'Quibi', 'YouTube']"
30,Telecommuniactions services,"['5G', 'LTE', 'network', 'sound', 'unlimited', 'data', 'taxes', 'fees', 'contract', 'reception', 'streaming', 'internet', 'limit', 'nationwide', 'WiFi', 'limited', 'switch', 'upgrade', 'customer service', 'bill', 'save', 'saving', 'reliable', 'fast', 'seamless', 'secure', 'affordable', 'flexible', 'efficient', 'innovative', 'responsive', 'advanced', 'powerful', 'uninterrupted', 'intuitive', 'global', 'high-speed', 'accessible', 'dynamic', 'modern', 'scalable', 'user-friendly', 'dependable', 'customizable', 'stable', 'cutting-edge', 'versatile', 'comprehensive', 'robust', 'adaptive', 'integrated', 'streamlined', 'crystal-clear', 'connected', 'clear', 'trusted', 'generation', 'connectivity', 'speed', 'coverage', 'reliability', 'communication', 'accessibility', 'technology', 'innovation', 'performance', 'service', 'integration', 'solutions', 'signal', 'bandwidth', 'efficiency', 'security', 'reach', 'features', 'mobility', 'voice', 'connections', 'broadband', 'control', 'freedom', 'clarity', 'support', 'simplicity', 'wireless', 'transmission', 'platform', 'compatibility', 'devices', 'experience', 'management', 'scalability']","['Mint', 'Sprint', 'TMobile', 'VerizonWireless']"
31,Television and Radio,"['entertaining', 'dynamic', 'exclusive', 'innovative', 'exciting', 'engaging', 'iconic', 'captivating', 'timeless', 'accessible', 'premium', 'original', 'unforgettable', 'diverse', 'global', 'powerful', 'vibrant',  'versatile', 'inclusive', 'prestigious', 'modern', 'bold', 'impactful', 'creative', 'unique', 'exciting', 'compelling', 'professional', 'high-quality', 'on-demand', 'legendary', 'combine', 'entertainment', 'drama', 'sports', 'news', 'comedy', 'coverage', 'stories', 'culture', 'reality', 'broadcast', 'network', 'streaming', 'series', 'movies', 'performances', 'shows', 'events', 'action', 'features', 'content', 'live', 'program', 'value', 'quality', 'viewing', 'connection', 'information', 'creativity', 'highlights', 'favorites', 'variety', 'prestige', 'fun', 'challenges', 'perspectives', 'history', 'tradition', 'draft', 'offseason']","['AMC', 'NBC', 'NFL']"
32,Travel and Booking Platforms,"['Discover', 'Widen', 'Feel', 'Connect', 'Go', 'Adventure', 'Reach', 'Venture', 'Take', 'Enjoy', 'Bridge',  'Experience', 'Unexplored', 'Unlimited', 'Delight', 'Explore', 'Find', 'Book', 'Visit', 'Fly', 'convenient', 'reliable', 'seamless', 'affordable', 'accessible', 'flexible', 'fast', 'personalized', 'intuitive', 'global', 'comprehensive', 'efficient', 'user-friendly', 'customizable', 'secure', 'trusted', 'innovative', 'dynamic', 'versatile', 'responsive', 'exclusive', 'interactive', 'modern', 'stress-free', 'effortless', 'inclusive', 'tailored', 'organized', 'simple', 'adaptive', 'smart', 'comfortable', 'dependable', 'streamlined', 'quick', 'transparent', 'memorable', 'unforgettable', 'convenience', 'accessibility', 'security', 'efficiency', 'flexibility', 'freedom', 'options', 'trip', 'destinations', 'experience', 'comfort', 'guidance', 'affordability', 'reliability', 'trust', 'service', 'innovation', 'platform', 'solutions', 'tools', 'deals', 'bookings', 'planning', 'vacation', 'journey', 'getaway', 'offers', 'value', 'navigation', 'simplicity', 'resources', 'features', 'recommendations', 'savings', 'travelers', 'exploration', 'packages', 'support', 'integration']","['Airbnb', 'Apartmentscom', 'TOURISMAUSTRALIA', 'Bookingcom', 'CarnivalCruiseLine', 'Expedia', 'Inspiration4', 'NorwegianCruiseLines', 'TurkishAirlines']"
