product_category,brand,commercial_number,BDM,transcript,audio_only_transcript,ocr_text,word_count,superlative_count,comparative_count,uniqueness_count,total_bdm_terms_count,total_bdm_terms_pct,superlatives,comparatives,unique_words,adj_noun_pairs,num_adj_noun_pairs
1.0,BUBLY,AD0586,1.0,"NOT IMPLEMENTED YET  Ooh, like very boobly. My favorite. You mean bubbly? No, I mean bubbly. Your Michael Bublay, that's a bubble. She's right, Michael Bublay. It's pronounced bubbly. I know, thanks. Dovey. And I have your autograph Mr. Bubbly? Spobly. Bubly. It's bubbly. Sparkling water. Pack this smile. Michael? Don't do that."," Ooh, like very boobly. My favorite. You mean bubbly? No, I mean bubbly. Your Michael Bublay, that's a bubble. She's right, Michael Bublay. It's pronounced bubbly. I know, thanks. Dovey. And I have your autograph Mr. Bubbly? Spobly. Bubly. It's bubbly. Sparkling water. Pack this smile. Michael? Don't do that.",NOT IMPLEMENTED YET,81,0,0,0,0,0.0,,,,['Sparkling water'],1
1.0,Bai,AD0475,0.0,"NOT IMPLEMENTED YET  I don't know how I get tough. I just want to tell you that I've had enough. And by sound crazy, but it ain't no lie, baby. Bye, bye, bye. Five calories, no artificial sweeteners, and taste amazing. Bye."," I don't know how I get tough. I just want to tell you that I've had enough. And by sound crazy, but it ain't no lie, baby. Bye, bye, bye. Five calories, no artificial sweeteners, and taste amazing. Bye.",NOT IMPLEMENTED YET,58,0,0,0,0,0.0,,,,['artificial sweeteners'],1
1.0,Cheerios,AD0323,0.0,"NOT IMPLEMENTED YET  Hey, Gracie. You know how our family has daddy and mommy? Can we? Yeah, that's right. Pretty soon, you're gonna have a baby brother. And a puppy. Deal."," Hey, Gracie. You know how our family has daddy and mommy? Can we? Yeah, that's right. Pretty soon, you're gonna have a baby brother. And a puppy. Deal.",NOT IMPLEMENTED YET,45,0,0,0,0,0.0,,,,[],0
1.0,Cheetos,AD0638,0.0,"NOT IMPLEMENTED YET  Cheetah says popcorn now. Hey, I'm gonna need it to me. Never mind. Can't touch this. Help. You can't touch this. You can't touch this. You can't touch this. You can't touch this. I trust you. Stop. Heaven time. I touched new Cheetah's popcorn. It's a Cheetah's thing."," Cheetah says popcorn now. Hey, I'm gonna need it to me. Never mind. Can't touch this. Help. You can't touch this. You can't touch this. You can't touch this. You can't touch this. I trust you. Stop. Heaven time. I touched new Cheetah's popcorn. It's a Cheetah's thing.",NOT IMPLEMENTED YET,77,0,0,0,0,0.0,,,,[],0
1.0,Cheetos,AD0760,0.0,,,NOT IMPLEMENTED YET,1,0,0,0,0,0.0,,,,[],0
1.0,CocaCola,AD0264,0.0,NOT IMPLEMENTED YET  I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die., I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die.,NOT IMPLEMENTED YET,102,0,0,0,0,0.0,,,,[],0
1.0,CocaCola,AD0265,0.0,NOT IMPLEMENTED YET  I'm getting so excited I'm sitting there I'm getting a little bit I'm giving my little me a little my life Now's the time I'm going to eat So say this time I'm going to eat, I'm getting so excited I'm sitting there I'm getting a little bit I'm giving my little me a little my life Now's the time I'm going to eat So say this time I'm going to eat,NOT IMPLEMENTED YET,47,0,0,0,0,0.0,,,,['little bit'],1
1.0,CocaCola,AD0316,0.0,"NOT IMPLEMENTED YET  Anshanker The beautiful, for spacious guide Back Hornings are plump Now, as he´s in his eyes And the hope that And his dreams This is the skies Flyback A man When the rain dies Last night Day wide snow is still warm David, your seven twenties Sun If sun"," Anshanker The beautiful, for spacious guide Back Hornings are plump Now, as he´s in his eyes And the hope that And his dreams This is the skies Flyback A man When the rain dies Last night Day wide snow is still warm David, your seven twenties Sun If sun",NOT IMPLEMENTED YET,56,0,0,0,0,0.0,,,,"['spacious guide', 'Last night', 'wide snow']",3
1.0,CocaCola,AD0317,0.0,"NOT IMPLEMENTED YET  Let's go Adrian. Adrian, let's go. Get out there and feel, let's go. Hey, Ellen, let's go. 34-pinch cover two. Don't mess this up, I can Adrian. Ready, three, set, five, two, three, go. Oh, my Adrian! Wow! Good, right, left. He's funny. He cuts back. Fail of 80. Yeah, coming through. One man's a me. That's how we do it. Let's go. Good, yeah. Hey, kid. Here. Yeah. Yeah. Yeah. Yeah."," Let's go Adrian. Adrian, let's go. Get out there and feel, let's go. Hey, Ellen, let's go. 34-pinch cover two. Don't mess this up, I can Adrian. Ready, three, set, five, two, three, go. Oh, my Adrian! Wow! Good, right, left. He's funny. He cuts back. Fail of 80. Yeah, coming through. One man's a me. That's how we do it. Let's go. Good, yeah. Hey, kid. Here. Yeah. Yeah. Yeah. Yeah.",NOT IMPLEMENTED YET,128,0,0,0,0,0.0,,,,[],0
1.0,CocaCola,AD0364,0.0,"NOT IMPLEMENTED YET  I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. Be sure, crew! I'm to kill you. I'm going to kill you. Don't let me show Our goodness. So how'd I know We're going to kill him. And don't let me show him. If we don't know If we. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you."," I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. Be sure, crew! I'm to kill you. I'm going to kill you. Don't let me show Our goodness. So how'd I know We're going to kill him. And don't let me show him. If we don't know If we. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you.",NOT IMPLEMENTED YET,184,0,0,0,0,0.0,,,,[],0
